provider_number,network,facility_name,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,ichcahps_date,ichcahps_data_availability_code,lower_box_percent_of_patientsnephrologists_communication_an_0,middle_box_percent_of_patientsnephrologists_communication_a_1,top_box_percent_of_patientsnephrologists_communication_and__2,linearized_score_of_nephrologists_communication_and_caring,star_rating_of_nephrologists_communication_and_caring,lower_box_percent_of_patientsquality_of_dialysis_center_car_3,middle_box_percent_of_patientsquality_of_dialysis_center_ca_4,top_box_percent_of_patientsquality_of_dialysis_center_care__5,linearized_score_of_quality_of_dialysis_center_care_and_ope_6,star_rating_of_quality_of_dialysis_center_care_and_operations,lower_box_percent_of_patientsproviding_information_to_patients,top_box_percent_of_patients_providing_information_to_patients,linearized_score_of_providing_information_to_patients,star_rating_of_providing_information_to_patients,lower_box_percent_of_patientsrating_of_the_nephrologist,middle_box_percent_of_patients_rating_of_the_nephrologist,top_box_percent_of_patients_rating_of_the_nephrologist,linearized_score_of_rating_of_the_nephrologist,star_rating_of_the_nephrologist,lower_box_percent_of_patientsrating_of_the_dialysis_center__7,middle_box_percent_of_patientsrating_of_the_dialysis_center_8,top_box_percent_of_patientsrating_of_the_dialysis_center_staff,linearized_score_of_rating_of_the_dialysis_center_staff,star_rating_of_the_dialysis_center_staff,lower_box_percent_of_patientsrating_of_the_dialysis_facility,middle_box_percent_of_patientsrating_of_the_dialysis_facility,top_box_percent_of_patientsrating_of_the_dialysis_facility,linearized_score_of_rating_of_the_dialysis_facility,star_rating_of_the_dialysis_facility,total_number_of_completed_interviews_from_the_fall_and_spri_9,ich_cahps_survey_of_patients_experiences_star_rating,ichcahps_survey_response_rate
333543,2,NYU LANGONE HOSPITALS,255 WARNER AVENUE,,ROSLYN HEIGHTS,NY,11577,NASSAU,(516) 626-8355,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333555,2,NASSAU UNIVERSITY MEDICAL CENTER,A. HOLLY PATERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,NASSAU,(516) 572-1800,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,20,16,64,79,3,20,16,64,80,3,16,84,84,4,20,32,48,80,2,6,31,63,87,4,3,30,67,89,4,33,3,16
333535,2,SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,3618 OCEANSIDE ROAD,,OCEANSIDE,NY,11572,NASSAU,(516) 255-8000,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,15,18,67,83,4,11,19,70,86,5,15,85,85,4,14,19,67,87,4,5,16,79,92,5,5,9,86,94,5,83,5,41
332605,2,DAVITA GARDEN CITY DIALYSIS CENTER,1100 STEWART AVENUE,SUITE 2,GARDEN CITY,NY,11530,NASSAU,(516) 357-0004,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,9,7,84,90,5,14,17,69,83,4,19,81,81,3,6,28,66,88,4,5,25,70,91,5,8,16,76,92,5,43,4,25
332388,2,S. NASSAU COMMUNITIES HOSP.,1 HEALTHY WAY,DIALYSIS - ACUTE UNIT,OCEANSIDE,NY,11572,NASSAU,(516) 632-3944,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332610,2,"WEST NASSAU DIALYSIS CTR, INC",75 ROCKAWAY AVENUE,,VALLEY STREAM,NY,11580,NASSAU,(516) 823-4444,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,8,8,84,91,5,14,16,70,84,4,22,78,78,3,6,17,77,89,4,10,20,70,87,4,8,16,76,90,4,53,4,26
332591,2,DAVITA PORT WASHINGTON DIALYSIS CENTER,50 SEAVIEW BLVD,,PORT WASHINGTON,NY,11050,NASSAU,(516) 484-3460,Profit,Yes,DAVITA,04/19/2019-01/10/2020,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332592,2,DAVITA LYNBROOK DIALYSIS CENTER,147 SCRANTON AVENUE,,LYNBROOK,NY,11563,NASSAU,(516) 596-4101,Profit,Yes,DAVITA,04/19/2019-01/10/2020,001,19,18,63,79,3,18,12,70,83,4,23,77,77,2,17,20,63,84,3,7,18,75,89,4,4,8,88,91,5,33,4,26
332620,2,NEW HYDE PARK DIALYSIS CENTER,NEW HYDE PARK DIALYSIS CENTER,1574 HILLSIDE AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(516) 327-5555,Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,10,13,77,88,5,12,18,70,85,5,27,73,73,1,6,18,76,89,4,6,17,77,89,4,4,19,77,91,5,81,4,36
332336,2,NYU LANGONE HOSPITALS,200 OLD COUNTRY ROAD,THE DIALYSIS CENTER,MINEOLA,NY,11501,NASSAU,(516) 663-9012,Non-Profit,No,INDEPENDENT,04/19/2019-01/10/2020,001,15,6,79,87,5,17,17,66,81,4,24,76,76,2,9,28,63,89,4,8,30,62,87,4,1,24,75,91,5,74,4,19
