provider_number,network,facility_name,five_star_date,five_star,five_star_data_availability_code,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,late_shift,of_dialysis_stations,offers_incenter_hemodialysis,offers_peritoneal_dialysis,offers_home_hemodialysis_training,certification_or_recertification_date,claims_date,crownweb_date,strr_date,percentage_of_medicare_patients_with_hgb10_gdl,hgb10_data_availability_code,percentage_of_medicare_patients_with_hgb12_gdl,hgb__12_data_availability_code,number_of_dialysis_patients_with_hgb_data,patient_transfusion_data_availability_code,patient_transfusion_category_text,number_of_patients_included_in_the_transfusion_summary,percent_of_adult_hd_patients_with_ktv__12,adult_hd_ktv_data_availability_code,percentage_of_adult_pd_pts_with_ktv__17,adult_pd_ktv_data_availability_code,percentage_of_pediatric_hd_patients_with_ktv__12,pediatric_hd_ktv_data_availability_code,number_of_adult_hd_patients_with_ktv_data,number_of_adult_hd_patientmonths_with_ktv_data,number_of_adult_pd_patients_with_ktv_data,number_of_adult_pd_patientmonths_with_ktv_data,number_of_pediatric_hd_patients_with_ktv_data,number_of_pediatric_hd_patientmonths_with_ktv_data,hypercalcemia_data_availability_code,number_of_patients_in_hypercalcemia_summary,number_of_patientmonths_in_hypercalcemia_summary,percentage_of_adult_patients_with_hypercalcemia_serum_calci_0,number_of_patients_in_serum_phosphorus_summary,number_of_patientmonths_in_serum_phosphorus_summary,serum_phosphorus_data_availability_code,percentage_of_adult_patients_with_serum_phosphorus_less_tha_1,percentage_of_adult_patients_with_serum_phosphorus_between__2,percentage_of_adult_patients_with_serum_phosphorus_between__3,percentage_of_adult_patients_with_serum_phosphorus_between__4,percentage_of_adult_patients_with_serum_phosphorus_greater__5,shr_date,srr_date,smr_date,patient_hospitalization_category_text,patient_hospitalization_data_availability_code,patient_hospital_readmission_category,patient_hospital_readmission_data_availability_code,patient_survival_category_text,patient_survival_data_availability_code,number_of_patients_included_in_hospitalization_summary,number_of_hospitalizations_included_in_hospital_readmission_6,number_of_patients_included_in_survival_summary,mortality_rate_facility,mortality_rate_upper_confidence_limit_975,mortality_rate_lower_confidence_limit_25,readmission_rate_facility,readmission_rate_upper_confidence_limit_975,readmission_rate_lower_confidence_limit_25,hospitalization_rate_facility,hospitalization_rate_upper_confidence_limit_975,hospitalization_rate_lower_confidence_limit_25,number_of_pediatric_pd_patients_with_ktv_data,pediatric_pd_ktv_data_availability_code,number_of_pediatric_pd_patientmonths_with_ktv_data,percentage_of_pediatric_pd_patients_with_ktv18,sir_date,patient_infection_data_availability_code,patient_infection_category_text,standard_infection_ratio,sir_upper_confidence_limit_975,sir_lower_confidence_limit_25,transfusion_rate_facility,transfusion_rate_upper_confidence_limit_975,transfusion_rate_lower_confidence_limit_25,fistula_data_availability_code,fistula_category_text,number_of_patients_included_in_fistula_summary,fistula_rate_facility,fistula_rate_upper_confidence_limit_975,fistula_rate_lower_confidence_limit_25,number_of_patients_in_long_term_catheter_summary,number_of_patient_months_in_long_term_catheter_summary,long_term_catheter_data_availability_code,percentage_of_adult_patients_with_long_term_catheter_in_use,number_of_patients_in_npcr_summary,number_of_patientmonths_in_npcr_summary,npcr_data_availability_code,percentage_of_pediatric_hd_patients_with_npcr,swr_date,swr_category_text,patient_transplant_waitlist_data_availability_code,95_ci_upper_limit_for_swr,95_ci_lower_limit_for_swr,number_of_patients_in_this_facility_for_swr,standardized_first_kidney_transplant_waitlist_ratio,pppw_category_text,patient_prevalent_transplant_waitlist_data_availability_code,95_ci_upper_limit_for_pppw,95_ci_lower_limit_for_pppw,number_of_patients_for_pppw,percentage_of_prevalent_patients_waitlisted
333543,2,NYU LANGONE HOSPITALS,01/01/2016-12/31/2019,3,1,255 WARNER AVENUE,,ROSLYN HEIGHTS,NY,11577,NASSAU,(516) 626-8355,Non-Profit,No,INDEPENDENT,0,3,1,0,0,05/31/2002,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,6,1,0,1,18,199,Not Available,31,95,1,,257,,259,35,164,0,,0,,1,36,166,0,47,189,1,18,31,30,20,1,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,41,62,153,21,28.7,14.9,30.5,44.7,19.2,165,297.1,95.7,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.42,2.05,0.02,,,,1,As Expected,47,63,97.2,26.4,47,189,1,27,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,18,,Not Available,199,,,7,
333555,2,NASSAU UNIVERSITY MEDICAL CENTER,01/01/2016-12/31/2019,3,1,A. HOLLY PATERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,NASSAU,(516) 572-1800,Non-Profit,No,INDEPENDENT,1,29,1,1,0,02/08/2010,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,34,1,0,1,73,1,As Expected,102,91,1,,199,,259,132,1202,7,68,0,,1,152,1439,3,156,1427,1,16,25,24,22,12,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,112,158,454,23.4,29.5,18.2,37,48.8,27.3,225.7,329,163.9,0,259,,,01/01/2019-12/31/2019,1,As Expected,1.54,2.52,0.88,32.5,66.5,17.9,1,Better than Expected,149,79,91,66.3,149,1390,1,7,0,,259,,01/01/2016-12/31/2018,As Expected,1,4.25,0.59,32,1.82,As Expected,1,39.8,9.3,96,20.7
333535,2,SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,3618 OCEANSIDE ROAD,,OCEANSIDE,NY,11572,NASSAU,(516) 255-8000,Non-Profit,No,INDEPENDENT,1,18,1,0,0,05/15/2000,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,,199,,199,2,1,Worse than Expected,125,99,1,,257,,259,151,1287,0,,0,,1,158,1406,1,169,1464,1,4,25,39,20,12,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,147,162,559,15.2,19.5,11.7,29.7,40.8,19.7,174,262,122.9,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.38,1.03,0.1,37.3,72.6,21.3,1,Better than Expected,170,81.2,92.3,69.4,170,1472,1,10,0,,259,,01/01/2016-12/31/2018,Better than Expected,1,3.89,1.09,56,2.17,As Expected,1,45.4,14,107,26.9
332605,2,DAVITA GARDEN CITY DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,1100 STEWART AVENUE,SUITE 2,GARDEN CITY,NY,11530,NASSAU,(516) 357-0004,Profit,Yes,DAVITA,0,31,1,0,0,06/06/2000,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,21,1,0,1,71,1,As Expected,92,98,1,,257,,259,140,1252,0,,0,,1,143,1329,9,145,1264,1,6,17,30,25,22,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,114,110,492,20.4,26.3,15.5,26.1,39.3,16.2,175.2,282.2,116.9,0,259,,,01/01/2019-12/31/2019,1,As Expected,1.43,2.54,0.72,16.8,53.4,6.4,1,As Expected,155,69.6,83.5,54.7,155,1388,1,12,0,,259,,01/01/2016-12/31/2018,As Expected,1,2.96,0.65,45,1.5,Better than Expected,1,55.9,23.7,121,38.5
332388,2,S. NASSAU COMMUNITIES HOSP.,01/01/2016-12/31/2019,,260,1 HEALTHY WAY,DIALYSIS - ACUTE UNIT,OCEANSIDE,NY,11572,NASSAU,(516) 632-3944,Non-Profit,No,INDEPENDENT,0,3,1,1,0,02/06/1989,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,,201,,201,0,199,Not Available,3,,199,,201,,259,6,44,0,,0,,199,6,44,,6,48,199,,,,,,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,Not Available,199,Not Available,199,Not Available,199,5,8,16,,,,,,,,,,0,259,,,01/01/2019-12/31/2019,199,Not Available,,,,,,,199,Not Available,6,,,,6,50,199,,0,,259,,01/01/2016-12/31/2018,Not Available,201,,,0,,As Expected,1,86.3,9.7,12,45.1
332610,2,"WEST NASSAU DIALYSIS CTR, INC",01/01/2016-12/31/2019,3,1,75 ROCKAWAY AVENUE,,VALLEY STREAM,NY,11580,NASSAU,(516) 823-4444,Profit,No,INDEPENDENT,0,24,1,0,0,10/20/2000,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,7,1,2,1,82,1,As Expected,98,94,1,,257,,259,138,1221,0,,0,,1,154,1440,4,160,1431,1,8,27,34,24,7,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,124,127,550,20.1,25.2,15.9,30.6,43.7,19.6,163.3,250,113.7,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.56,1.24,0.21,46.6,123.6,20.6,1,As Expected,164,69.5,81.7,56.4,164,1506,1,14,0,,259,,01/01/2016-12/31/2018,As Expected,1,2.92,0.57,49,1.42,Better than Expected,1,52.6,20.4,117,34.8
332591,2,DAVITA PORT WASHINGTON DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,50 SEAVIEW BLVD,,PORT WASHINGTON,NY,11050,NASSAU,(516) 484-3460,Profit,Yes,DAVITA,0,18,1,0,0,03/26/1999,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,12,1,0,1,58,1,As Expected,70,99,1,,257,,259,94,847,0,,0,,1,94,864,1,97,890,1,6,24,38,18,14,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,88,86,346,14.7,19.5,10.9,25.4,38.5,15.1,157.4,262.5,102,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.49,1.63,0.08,13.2,58.5,3.8,1,Better than Expected,99,87.5,99.2,74.9,99,902,1,3,0,,259,,01/01/2016-12/31/2018,Better than Expected,1,7.5,1.64,31,3.81,Better than Expected,1,71.4,24.6,57,47.5
332592,2,DAVITA LYNBROOK DIALYSIS CENTER,01/01/2016-12/31/2019,4,1,147 SCRANTON AVENUE,,LYNBROOK,NY,11563,NASSAU,(516) 596-4101,Profit,Yes,DAVITA,0,18,1,0,0,07/07/1999,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,8,1,2,1,64,1,As Expected,87,99,1,,257,,259,115,1028,0,,0,,1,116,1071,4,118,1076,1,5,18,37,24,16,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,94,88,425,18,23.7,13.3,26.6,40.7,15.7,166,279,106.9,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.18,0.89,0.01,28.2,70.3,13.2,1,As Expected,122,75.2,89.9,59.4,122,1103,1,8,0,,259,,01/01/2016-12/31/2018,As Expected,1,1.15,0,36,0,As Expected,1,42.3,8.5,85,20.7
332620,2,NEW HYDE PARK DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,NEW HYDE PARK DIALYSIS CENTER,1574 HILLSIDE AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(516) 327-5555,Profit,No,INDEPENDENT,1,24,1,1,1,08/06/2001,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,4,1,8,1,107,1,As Expected,145,96,1,88,1,,259,173,1530,30,272,0,,1,210,1967,3,224,2044,1,7,22,26,29,15,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,174,193,724,17.9,21.9,14.4,29.8,40.5,20.5,174.7,253.2,127.5,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.23,0.76,0.04,17,45.1,7.5,1,Better than Expected,194,82.6,91.1,73.5,194,1784,1,5,0,,259,,01/01/2016-12/31/2018,Better than Expected,1,4.9,1.84,83,3.1,Better than Expected,1,58.6,30.4,150,44
332336,2,NYU LANGONE HOSPITALS,01/01/2016-12/31/2019,4,1,200 OLD COUNTRY ROAD,THE DIALYSIS CENTER,MINEOLA,NY,11501,NASSAU,(516) 663-9012,Non-Profit,No,INDEPENDENT,1,31,1,1,1,03/07/1991,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,19,1,1,1,144,1,As Expected,193,97,1,65,1,,259,257,2271,32,222,0,,1,290,2631,1,305,2712,1,9,23,29,29,10,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,Better than Expected,1,Better than Expected,1,228,228,898,16.2,19.6,13.3,19.2,27,12.7,162.2,224.4,123.1,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.89,1.48,0.49,33.7,60.4,20.6,1,As Expected,278,68.9,78.9,58.1,278,2516,1,9,0,,259,,01/01/2016-12/31/2018,Better than Expected,1,2.81,1.16,112,1.85,Better than Expected,1,43.1,20.8,224,30.9
